country_name,country_code_iso,lgbt_equality_index,lgbt_equality_index_normalized
Iceland,ISL,90,2.00
Canada,CAN,90,2.00
Uruguay,URY,86,1.82
Norway,NOR,86,1.82
Denmark,DNK,86,1.82
Netherlands,NLD,85,1.78
Spain,ESP,84,1.74
Germany,DEU,84,1.74
Australia,AUS,84,1.74
Malta,MLT,83,1.69
United Kingdom,GBR,82,1.65
United States,USA,82,1.65
Sweden,SWE,82,1.65
Brazil,BRA,82,1.65
Argentina,ARG,82,1.65
Andorra,AND,81,1.61
Cuba,CUB,81,1.61
Chile,CHL,79,1.52
Mexico,MEX,78,1.47
Switzerland,CHE,78,1.47
France,FRA,78,1.47
New Zealand,NZL,78,1.47
Belgium,BEL,77,1.43
South Africa,ZAF,76,1.39
Austria,AUT,76,1.39
Finland,FIN,75,1.34
Luxembourg,LUX,75,1.34
Ireland,IRL,73,1.26
San Marino,SMR,73,1.26
Fiji,FJI,72,1.21
Costa Rica,CRI,72,1.21
Colombia,COL,71,1.17
Liechtenstein,LIE,71,1.17
Portugal,PRT,69,1.08
Israel,ISR,69,1.08
Cape Verde,CPV,69,1.08
Slovenia,SVN,68,1.04
Czech Republic,CZE,67,1.00
Taiwan,TWN,66,0.95
Nepal,NPL,66,0.95
Vatican City,VAT,66,0.95
Belize,BLZ,66,0.95
Italy,ITA,65,0.91
Japan,JPN,64,0.86
Ecuador,ECU,64,0.86
India,IND,63,0.82
Greece,GRC,62,0.78
Mozambique,MOZ,60,0.69
Angola,AGO,60,0.69
Barbados,BRB,60,0.69
Bolivia,BOL,60,0.69
Kosovo,XK,58,0.60
Marshall Islands,MHL,58,0.60
Suriname,SUR,58,0.60
Monaco,MCO,58,0.60
Estonia,EST,58,0.60
Croatia,HRV,58,0.60
Philippines,PHL,58,0.60
Botswana,BWA,57,0.56
Mauritius,MUS,57,0.56
Peru,PER,57,0.56
Namibia,NAM,55,0.47
Nauru,NRU,55,0.47
Cyprus,CYP,55,0.47
South Korea,KOR,54,0.43
Sao Tome and Principe,STP,53,0.39
Venezuela,VEN,53,0.39
Laos,LAO,53,0.39
Seychelles,SYC,53,0.39
Thailand,THA,52,0.34
Bahamas,BHS,51,0.30
Latvia,LVA,51,0.30
Nicaragua,NIC,51,0.30
Hungary,HUN,51,0.30
Equatorial Guinea,GNQ,51,0.30
Guinea-Bissau,GNB,51,0.30
Guatemala,GTM,51,0.30
Vanuatu,VUT,51,0.30
Vietnam,VNM,50,0.26
Singapore,SGP,50,0.26
Slovakia,SVK,50,0.26
Democratic Republic of the Congo,COD,50,0.26
El Salvador,SLV,49,0.21
Samoa,WSM,49,0.21
Honduras,HND,49,0.21
Kazakhstan,KAZ,49,0.21
Bhutan,BTN,49,0.21
Federated States of Micronesia,FSM,49,0.21
Montenegro,MNE,48,0.17
Poland,POL,47,0.12
Romania,ROU,47,0.12
Bulgaria,BGR,46,0.08
Lithuania,LTU,46,0.08
Central African Republic,CAF,45,0.04
Cambodia,KHM,45,0.04
Bosnia and Herzegovina,BIH,44,-0.01
Bahrain,BHR,44,-0.01
Antigua and Barbuda,ATG,44,-0.01
Panama,PAN,43,-0.05
Serbia,SRB,43,-0.05
Albania,ALB,43,-0.05
North Macedonia,MKD,42,-0.09
Kiribati,KIR,42,-0.09
Lesotho,LSO,41,-0.14
China,CHN,41,-0.14
Paraguay,PRY,41,-0.14
Dominican Republic,DOM,41,-0.14
Tajikistan,TJK,40,-0.18
Tonga,TON,40,-0.18
Ukraine,UKR,40,-0.18
Georgia,GEO,39,-0.22
Mongolia,MNG,39,-0.22
Djibouti,DJI,38,-0.27
Trinidad and Tobago,TTO,37,-0.31
Sri Lanka,LKA,37,-0.31
Turkey,TUR,37,-0.31
Moldova,MDA,36,-0.35
Saint Kitts and Nevis,KNA,36,-0.35
Benin,BEN,36,-0.35
Papua New Guinea,PNG,35,-0.40
Grenada,GRD,35,-0.40
Burkina Faso,BFA,35,-0.40
Syria,SYR,34,-0.44
Madagascar,MDG,34,-0.44
Republic of the Congo,COG,34,-0.44
Mali,MLI,34,-0.44
Tuvalu,TUV,34,-0.44
Haiti,HTI,33,-0.49
Kyrgyzstan,KGZ,33,-0.49
Timor-Leste,TLS,33,-0.49
Armenia,ARM,33,-0.49
Uzbekistan,UZB,33,-0.49
Gabon,GAB,33,-0.49
Pakistan,PAK,32,-0.53
Eswatini,SWZ,32,-0.53
Palau,PLW,32,-0.53
Belarus,BLR,31,-0.57
Jamaica,JAM,31,-0.57
Turkmenistan,TKM,31,-0.57
Rwanda,RWA,30,-0.62
Lebanon,LBN,30,-0.62
Niger,NER,28,-0.70
Guyana,GUY,28,-0.70
Saint Lucia,LCA,27,-0.75
Kenya,KEN,27,-0.75
Maldives,MDV,27,-0.75
Zimbabwe,ZWE,27,-0.75
C\\364te d\\u2019Ivoire,CIV,26,-0.79
Sierra Leone,SLE,26,-0.79
Liberia,LBR,25,-0.83
Jordan,JOR,24,-0.88
Azerbaijan,AZE,24,-0.88
Dominica,DMA,24,-0.88
Kuwait,KWT,24,-0.88
Morocco,MAR,23,-0.92
Solomon Islands,SLB,23,-0.92
Russia,RUS,23,-0.92
Bangladesh,BGD,23,-0.92
South Sudan,SSD,22,-0.96
Myanmar,MMR,22,-0.96
Burundi,BDI,21,-1.01
Comoros,COM,21,-1.01
Indonesia,IDN,21,-1.01
Saint Vincent and the Grenadines,VCT,20,-1.05
Ghana,GHA,20,-1.05
United Arab Emirates,ARE,18,-1.14
Togo,TGO,18,-1.14
Zambia,ZMB,18,-1.14
Malawi,MWI,17,-1.18
Sudan,SDN,17,-1.18
Tanzania,TZA,17,-1.18
Algeria,DZA,17,-1.18
Guinea,GIN,16,-1.23
Chad,TCD,16,-1.23
Iraq,IRQ,15,-1.27
Malaysia,MYS,15,-1.27
Senegal,SEN,14,-1.31
Qatar,QAT,14,-1.31
Eritrea,ERI,14,-1.31
Saudi Arabia,SAU,13,-1.36
Tunisia,TUN,12,-1.40
Cameroon,CMR,11,-1.44
Oman,OMN,11,-1.44
Ethiopia,ETH,11,-1.44
Egypt,EGY,11,-1.44
Gambia,GMB,10,-1.49
Nigeria,NGA,9,-1.53
Uganda,UGA,7,-1.62
Libya,LBY,7,-1.62
Iran,IRN,6,-1.66
Palestine,PSE,6,-1.66
North Korea,PRK,3,-1.79
Mauritania,MRT,3,-1.79
Somalia,SOM,2,-1.84
Afghanistan,AFG,2,-1.84
Brunei,BRN,2,-1.84
Yemen,YEM,0,-1.92